GeneId:START_ID(Gene),Relation:TYPE,ProteinId:END_ID(Protein),RelationName
154664,GeneToProtein,Q86UQ4,Code
5826,GeneToProtein,O14678,Code
21,GeneToProtein,Q99758,Code
64240,GeneToProtein,Q9H222,Code
26090,GeneToProtein,Q8N2K0,Code
6059,GeneToProtein,P61221,Code
403314,GeneToProtein,Q8WW27,Code
339,GeneToProtein,P41238,Code
23,GeneToProtein,Q8NE71,Code
80167,GeneToProtein,Q0P651,Code
84696,GeneToProtein,Q96SE0,Code
64241,GeneToProtein,Q9H221,Code
140701,GeneToProtein,Q9H3Z7,Code
57406,GeneToProtein,Q9BV23,Code
84945,GeneToProtein,Q7L211,Code
10930,GeneToProtein,Q9Y235,Code
25864,GeneToProtein,Q9BUJ0,Code
11057,GeneToProtein,P08910,Code
79575,GeneToProtein,Q96I13,Code
116236,GeneToProtein,Q6UXT9,Code
10006,GeneToProtein,Q8IZP0,Code
84836,GeneToProtein,Q96IU4,Code
55347,GeneToProtein,Q9NUJ1,Code
171586,GeneToProtein,Q8WU67,Code
3983,GeneToProtein,O14639,Code
7920,GeneToProtein,O95870,Code
10152,GeneToProtein,Q9NYB9,Code
83451,GeneToProtein,Q8NFV4,Code
54942,GeneToProtein,Q9NX38,Code
63874,GeneToProtein,Q8TB40,Code
24,GeneToProtein,P78363,Code
84448,GeneToProtein,Q6H8Q1,Code
25,GeneToProtein,P00519,Code
137735,GeneToProtein,Q8N0Z2,Code
51225,GeneToProtein,Q9P2A4,Code
51099,GeneToProtein,Q8WTS1,Code
80325,GeneToProtein,Q969K4,Code
23461,GeneToProtein,Q8WWZ7,Code
25841,GeneToProtein,Q8N961,Code
22885,GeneToProtein,O94929,Code
23172,GeneToProtein,Q15018,Code
121551,GeneToProtein,A6QL63,Code
58527,GeneToProtein,Q9P1F3,Code
29,GeneToProtein,Q12979,Code
27,GeneToProtein,P42684,Code
84142,GeneToProtein,Q6UWZ7,Code
29777,GeneToProtein,Q9ULW3,Code
33,GeneToProtein,P28330,Code
9197,GeneToProtein,O00400,Code
414149,GeneToProtein,Q8N6N7,Code
79777,GeneToProtein,Q8NC06,Code
31,GeneToProtein,Q13085,Code
37,GeneToProtein,P49748,Code
23205,GeneToProtein,Q96GR2,Code
91452,GeneToProtein,Q5T8D3,Code
1622,GeneToProtein,P07108,Code
81616,GeneToProtein,Q5FVE4,Code
32,GeneToProtein,O00763,Code
84320,GeneToProtein,Q9BR61,Code
9744,GeneToProtein,Q15027,Code
34,GeneToProtein,P11310,Code
23527,GeneToProtein,Q15057,Code
116983,GeneToProtein,Q96P50,Code
35,GeneToProtein,P16219,Code
27034,GeneToProtein,Q9UKU7,Code
28976,GeneToProtein,Q9H845,Code
80724,GeneToProtein,Q6JQN1,Code
84129,GeneToProtein,Q709F0,Code
36,GeneToProtein,P45954,Code
65057,GeneToProtein,Q96AP0,Code
59272,GeneToProtein,Q9BYF1,Code
340485,GeneToProtein,Q5QJU3,Code
43,GeneToProtein,P22303,Code
57053,GeneToProtein,Q9GZZ6,Code
55331,GeneToProtein,Q9NUN7,Code
125981,GeneToProtein,Q8TDN7,Code
1138,GeneToProtein,P30532,Code
1141,GeneToProtein,P17787,Code
1636,GeneToProtein,P12821,Code
1135,GeneToProtein,Q15822,Code
8973,GeneToProtein,Q15825,Code
1142,GeneToProtein,Q05901,Code
1144,GeneToProtein,Q07001,Code
1134,GeneToProtein,P02708,Code
1136,GeneToProtein,P32297,Code
1143,GeneToProtein,P30926,Code
1139,GeneToProtein,P36544,Code
1145,GeneToProtein,Q04844,Code
1137,GeneToProtein,P43681,Code
1140,GeneToProtein,P11230,Code
55584,GeneToProtein,Q9UGM1,Code
22985,GeneToProtein,Q9UKV3,Code
1146,GeneToProtein,P07510,Code
10188,GeneToProtein,Q07912,Code
1238,GeneToProtein,O00590,Code
57007,GeneToProtein,P25106,Code
134145,GeneToProtein,Q6P4H8,Code
86,GeneToProtein,O96019,Code
51554,GeneToProtein,Q9NPB9,Code
1131,GeneToProtein,P20309,Code
1128,GeneToProtein,P11229,Code
51412,GeneToProtein,O94805,Code
170487,GeneToProtein,Q5JWF8,Code
2532,GeneToProtein,Q16570,Code
130013,GeneToProtein,Q8TDX5,Code
10881,GeneToProtein,Q9Y615,Code
1132,GeneToProtein,P08173,Code
47,GeneToProtein,P53396,Code
1133,GeneToProtein,P08912,Code
48,GeneToProtein,P21399,Code
1129,GeneToProtein,P08172,Code
10880,GeneToProtein,Q9Y614,Code
26027,GeneToProtein,Q8WXI4,Code
55289,GeneToProtein,Q9NUZ1,Code
50,GeneToProtein,Q99798,Code
641372,GeneToProtein,Q3I5F7,Code
390928,GeneToProtein,Q6ZNF0,Code
8309,GeneToProtein,Q99424,Code
134526,GeneToProtein,Q8WYK0,Code
10005,GeneToProtein,O14734,Code
327,GeneToProtein,P13798,Code
8310,GeneToProtein,O15254,Code
641371,GeneToProtein,Q86TX2,Code
55856,GeneToProtein,Q9NPJ3,Code
23597,GeneToProtein,Q9Y305,Code
10965,GeneToProtein,P49753,Code
122970,GeneToProtein,Q8N9L9,Code
51,GeneToProtein,Q15067,Code
4706,GeneToProtein,O14561,Code
84519,GeneToProtein,Q8NEB7,Code
49,GeneToProtein,P10323,Code
55902,GeneToProtein,Q9NR19,Code
123876,GeneToProtein,Q08AH3,Code
348158,GeneToProtein,Q68CK6,Code
84532,GeneToProtein,Q9NUB1,Code
132949,GeneToProtein,Q4L235,Code
80221,GeneToProtein,Q96CM8,Code
2181,GeneToProtein,O95573,Code
2182,GeneToProtein,O60488,Code
197322,GeneToProtein,Q4G176,Code
341392,GeneToProtein,P0C7M7,Code
2180,GeneToProtein,P33121,Code
54988,GeneToProtein,Q6NUN0,Code
51703,GeneToProtein,Q9ULC5,Code
142827,GeneToProtein,Q6P461,Code
79611,GeneToProtein,Q9H6R3,Code
23305,GeneToProtein,Q9UKU0,Code
345651,GeneToProtein,Q562R1,Code
116285,GeneToProtein,Q08AH1,Code
440915,GeneToProtein,Q9BYX7,Code
60,GeneToProtein,P60709,Code
59,GeneToProtein,P62736,Code
88,GeneToProtein,P35609,Code
6296,GeneToProtein,Q53FZ2,Code
81569,GeneToProtein,Q9H568,Code
4158,GeneToProtein,Q01718,Code
70,GeneToProtein,P68032,Code
284382,GeneToProtein,Q8TC94,Code
89,GeneToProtein,Q08043,Code
71,GeneToProtein,P63261,Code
87,GeneToProtein,P12814,Code
284325,GeneToProtein,Q5BKX5,Code
72,GeneToProtein,P63267,Code
81,GeneToProtein,O43707,Code
139741,GeneToProtein,Q8TDG2,Code
10120,GeneToProtein,P42025,Code
140625,GeneToProtein,Q8TDY3,Code
10121,GeneToProtein,P61163,Code
84517,GeneToProtein,Q9BYD9,Code
58,GeneToProtein,P68133,Code
130399,GeneToProtein,Q8NER5,Code
91703,GeneToProtein,Q96HD9,Code
98,GeneToProtein,P14621,Code
91,GeneToProtein,P36896,Code
95,GeneToProtein,Q03154,Code
97,GeneToProtein,P07311,Code
94,GeneToProtein,P37023,Code
443,GeneToProtein,P45381,Code
8038,GeneToProtein,O43184,Code
148,GeneToProtein,P35348,Code
90,GeneToProtein,Q04771,Code
8745,GeneToProtein,O75077,Code
8751,GeneToProtein,Q13444,Code
161823,GeneToProtein,Q6DHV7,Code
101,GeneToProtein,P78325,Code
147,GeneToProtein,P35368,Code
10863,GeneToProtein,Q9UKQ2,Code
132612,GeneToProtein,Q96M93,Code
151,GeneToProtein,P18089,Code
2515,GeneToProtein,Q99965,Code
146,GeneToProtein,P25100,Code
102,GeneToProtein,O14672,Code
8754,GeneToProtein,Q13443,Code
51816,GeneToProtein,Q9NZK5,Code
11086,GeneToProtein,Q9UKF5,Code
23536,GeneToProtein,Q9BUB4,Code
161931,GeneToProtein,Q8NCV1,Code
8748,GeneToProtein,O43506,Code
8747,GeneToProtein,Q9UKJ8,Code
11033,GeneToProtein,O75689,Code
6868,GeneToProtein,P78536,Code
55803,GeneToProtein,Q9NPF8,Code
152,GeneToProtein,P18825,Code
255926,GeneToProtein,Q6NVV9,Code
134637,GeneToProtein,Q7Z6V5,Code
53616,GeneToProtein,Q9P0K1,Code
11085,GeneToProtein,Q9UKF2,Code
150,GeneToProtein,P08913,Code
4185,GeneToProtein,O75078,Code
203102,GeneToProtein,Q8TC27,Code
642394,GeneToProtein,A8MUL3,Code
8756,GeneToProtein,Q9H2U9,Code
113179,GeneToProtein,Q96EY9,Code
8749,GeneToProtein,Q9Y3Q7,Code
80332,GeneToProtein,Q9BZ11,Code
57143,GeneToProtein,Q86TW2,Code
100,GeneToProtein,P00813,Code
8728,GeneToProtein,Q9H013,Code
90956,GeneToProtein,Q7Z695,Code
8540,GeneToProtein,O00116,Code
203054,GeneToProtein,Q3MIX3,Code
111,GeneToProtein,O95622,Code
344752,GeneToProtein,Q6P093,Code
107,GeneToProtein,Q08828,Code
126767,GeneToProtein,Q5VUY0,Code
343066,GeneToProtein,Q5VUY2,Code
108,GeneToProtein,Q08462,Code
112,GeneToProtein,O43306,Code
118,GeneToProtein,P35611,Code
109,GeneToProtein,O60266,Code
113,GeneToProtein,P51828,Code
