GeneId:START_ID(Gene),Relation:TYPE,ProteinId:END_ID(Protein),RelationName
10136,GeneToProtein,P09093,Code
10658,GeneToProtein,Q92879,Code
92806,GeneToProtein,B2RD01,Code
9620,GeneToProtein,Q9NYQ6,Code
1990,GeneToProtein,Q9UNI1,Code
11189,GeneToProtein,Q5SZQ8,Code
1952,GeneToProtein,Q9HCU4,Code
57214,GeneToProtein,Q8WUJ3,Code
56853,GeneToProtein,Q9BZC1,Code
2491,GeneToProtein,Q92674,Code
752014,GeneToProtein,Q6PRD7,Code
51286,GeneToProtein,Q8N111,Code
1058,GeneToProtein,P49450,Code
79172,GeneToProtein,Q9BU64,Code
1059,GeneToProtein,P07199,Code
1951,GeneToProtein,Q9NYQ7,Code
79019,GeneToProtein,Q9NSP4,Code
201254,GeneToProtein,A8MT69,Code
55835,GeneToProtein,Q9HC77,Code
389857,GeneToProtein,A0A0U1RR11,Code
23421,GeneToProtein,Q13352,Code
441495,GeneToProtein,P0DPI3,Code
1060,GeneToProtein,Q03188,Code
347549,GeneToProtein,A0A0U1RRI6,Code
79682,GeneToProtein,Q71F23,Code
55839,GeneToProtein,Q96H22,Code
401541,GeneToProtein,Q6IPU0,Code
64105,GeneToProtein,Q9BS16,Code
123811,GeneToProtein,Q96NB1,Code
57415,GeneToProtein,Q9HBI5,Code
378708,GeneToProtein,Q8N2Z9,Code
1062,GeneToProtein,Q02224,Code
201161,GeneToProtein,Q7Z7K6,Code
55166,GeneToProtein,Q7L2Z9,Code
84984,GeneToProtein,Q96LK0,Code
91687,GeneToProtein,Q8N0S6,Code
387103,GeneToProtein,Q5EE01,Code
80152,GeneToProtein,Q96BT3,Code
1063,GeneToProtein,P49454,Code
80817,GeneToProtein,Q9C0F1,Code
84131,GeneToProtein,Q5JTW2,Code
23177,GeneToProtein,Q76N32,Code
95681,GeneToProtein,Q9BYV8,Code
10715,GeneToProtein,P27544,Code
64946,GeneToProtein,Q9H3R5,Code
10390,GeneToProtein,Q9Y6K0,Code
51134,GeneToProtein,Q9Y592,Code
80321,GeneToProtein,Q8NHQ1,Code
1356,GeneToProtein,P00450,Code
55165,GeneToProtein,Q53EZ4,Code
64793,GeneToProtein,Q6P2H3,Code
11116,GeneToProtein,O95684,Code
29956,GeneToProtein,Q96G23,Code
55722,GeneToProtein,Q9P209,Code
64781,GeneToProtein,Q8TCT0,Code
84902,GeneToProtein,Q96ST8,Code
51716,GeneToProtein,Q9UKY3,Code
9702,GeneToProtein,Q86XR8,Code
1068,GeneToProtein,Q12798,Code
90799,GeneToProtein,Q96GE4,Code
204219,GeneToProtein,Q8IU89,Code
79959,GeneToProtein,Q8TAP6,Code
9350,GeneToProtein,O95813,Code
375298,GeneToProtein,Q49MI3,Code
79598,GeneToProtein,Q8IW35,Code
80254,GeneToProtein,Q96MT8,Code
100130967,GeneToProtein,Q4VX62,Code
79603,GeneToProtein,Q9HA82,Code
1069,GeneToProtein,P41208,Code
401288,GeneToProtein,Q5T6M2,Code
29113,GeneToProtein,Q6UXA7,Code
26238,GeneToProtein,Q9Y6Z2,Code
729583,GeneToProtein,Q5JQF7,Code
154313,GeneToProtein,Q8IYR0,Code
161502,GeneToProtein,Q6P656,Code
91012,GeneToProtein,Q8N5B7,Code
57827,GeneToProtein,O95873,Code
206412,GeneToProtein,Q5TEZ5,Code
647024,GeneToProtein,Q5T0Z8,Code
93190,GeneToProtein,Q8N1D5,Code
1070,GeneToProtein,O15182,Code
80069,GeneToProtein,Q9H8X3,Code
63914,GeneToProtein,Q5TEZ4,Code
90632,GeneToProtein,A8K010,Code
200844,GeneToProtein,Q6ZVT6,Code
168090,GeneToProtein,Q5T5N4,Code
221545,GeneToProtein,Q5SQH8,Code
347744,GeneToProtein,Q5T4I8,Code
257236,GeneToProtein,Q2M329,Code
90835,GeneToProtein,A1A4V9,Code
253782,GeneToProtein,Q6ZMG9,Code
29070,GeneToProtein,Q9H0I3,Code
135398,GeneToProtein,Q5SZD1,Code
81688,GeneToProtein,Q9GZU0,Code
129881,GeneToProtein,Q0VFZ6,Code
154386,GeneToProtein,Q96MT4,Code
440585,GeneToProtein,A6NL82,Code
100131814,GeneToProtein,P0C7V0,Code
79940,GeneToProtein,Q9H8W2,Code
221477,GeneToProtein,Q6UWU4,Code
221718,GeneToProtein,Q8N0U6,Code
127003,GeneToProtein,Q5T5A4,Code
387263,GeneToProtein,Q7Z4R8,Code
221416,GeneToProtein,Q8N319,Code
441150,GeneToProtein,Q5I0X4,Code
286207,GeneToProtein,Q5JU67,Code
85016,GeneToProtein,Q9BRQ4,Code
144535,GeneToProtein,Q96N23,Code
1071,GeneToProtein,P11597,Code
56683,GeneToProtein,P57076,Code
144406,GeneToProtein,Q8TBY9,Code
25790,GeneToProtein,Q9UL16,Code
284067,GeneToProtein,B2RV13,Code
79846,GeneToProtein,A5D8W1,Code
10087,GeneToProtein,Q9Y5P4,Code
112942,GeneToProtein,Q96G28,Code
149465,GeneToProtein,Q96MR6,Code
57501,GeneToProtein,Q9ULG3,Code
755,GeneToProtein,O43822,Code
138255,GeneToProtein,Q5VTT2,Code
255119,GeneToProtein,Q6V702,Code
54777,GeneToProtein,Q8IYW2,Code
159686,GeneToProtein,Q5T655,Code
441054,GeneToProtein,A7E2U8,Code
118491,GeneToProtein,Q5T0N1,Code
286464,GeneToProtein,Q6ZTR5,Code
629,GeneToProtein,P00751,Code
57587,GeneToProtein,Q9P2B7,Code
157657,GeneToProtein,Q96NL8,Code
80217,GeneToProtein,Q8NDM7,Code
26074,GeneToProtein,Q8NHU2,Code
146845,GeneToProtein,Q8N1V2,Code
29105,GeneToProtein,Q9Y6A4,Code
387885,GeneToProtein,A6NFT4,Code
653275,GeneToProtein,P0CG36,Code
402160,GeneToProtein,D6REC4,Code
55997,GeneToProtein,P0CG37,Code
85452,GeneToProtein,Q9C0B2,Code
55779,GeneToProtein,Q96MT7,Code
3075,GeneToProtein,P08603,Code
10428,GeneToProtein,Q9UEE9,Code
255101,GeneToProtein,Q6ZU64,Code
1675,GeneToProtein,P00746,Code
389799,GeneToProtein,Q6ZQR2,Code
220136,GeneToProtein,Q96M91,Code
134121,GeneToProtein,A4QMS7,Code
64776,GeneToProtein,Q9H5F2,Code
89876,GeneToProtein,Q7Z4T9,Code
3426,GeneToProtein,P05156,Code
79020,GeneToProtein,Q9BPX7,Code
8837,GeneToProtein,O15519,Code
202865,GeneToProtein,Q8WU49,Code
84310,GeneToProtein,Q9BRJ6,Code
136288,GeneToProtein,Q8NEG2,Code
401335,GeneToProtein,Q6ZTY9,Code
80099,GeneToProtein,Q9H7B7,Code
154872,GeneToProtein,A4D0Y5,Code
102725191,GeneToProtein,A0A1B0GVB3,Code
55454,GeneToProtein,Q8N6G5,Code
114335,GeneToProtein,A6NKQ9,Code
114336,GeneToProtein,Q6NT52,Code
1082,GeneToProtein,P0DN86,Code
94027,GeneToProtein,P0DN87,Code
1080,GeneToProtein,P13569,Code
8545,GeneToProtein,Q9UFW8,Code
84952,GeneToProtein,Q0VF96,Code
1491,GeneToProtein,P32929,Code
10669,GeneToProtein,Q99674,Code
541565,GeneToProtein,Q8NAV2,Code
26138,GeneToProtein,Q9Y4M8,Code
203076,GeneToProtein,Q6P047,Code
83655,GeneToProtein,Q96KT6,Code
84933,GeneToProtein,Q96K31,Code
10668,GeneToProtein,Q99675,Code
414919,GeneToProtein,Q6P1X6,Code
65265,GeneToProtein,Q9H7E9,Code
389649,GeneToProtein,Q6ZUL3,Code
389676,GeneToProtein,E5RJ46,Code
100127983,GeneToProtein,P0DMB2,Code
100130301,GeneToProtein,P0DMQ9,Code
116328,GeneToProtein,Q49A92,Code
115004,GeneToProtein,Q8N884,Code
56260,GeneToProtein,Q96CB5,Code
157773,GeneToProtein,Q96LL4,Code
7368,GeneToProtein,Q16880,Code
55790,GeneToProtein,Q8TDX6,Code
3336,GeneToProtein,P61604,Code
9023,GeneToProtein,O95992,Code
1117,GeneToProtein,Q15782,Code
1116,GeneToProtein,P36222,Code
3329,GeneToProtein,P10809,Code
79094,GeneToProtein,Q9BUX1,Code
150356,GeneToProtein,Q6NUI6,Code
1101,GeneToProtein,O15335,Code
494143,GeneToProtein,Q8WUX2,Code
283489,GeneToProtein,Q96JM3,Code
118487,GeneToProtein,Q96BP2,Code
84181,GeneToProtein,Q8TD26,Code
51142,GeneToProtein,Q9Y6H1,Code
9557,GeneToProtein,Q86WJ1,Code
84269,GeneToProtein,Q9BSY4,Code
79145,GeneToProtein,Q9BUK0,Code
645345,GeneToProtein,Q5T1J5,Code
1105,GeneToProtein,O14646,Code
55636,GeneToProtein,Q9P2D1,Code
124773,GeneToProtein,Q86WR6,Code
400916,GeneToProtein,Q8WYQ3,Code
1106,GeneToProtein,O14647,Code
57680,GeneToProtein,Q9HCK8,Code
55349,GeneToProtein,Q8NE62,Code
105371267,GeneToProtein,A0A1B0GV96,Code
1107,GeneToProtein,Q12873,Code
80205,GeneToProtein,Q3L8U1,Code
1108,GeneToProtein,Q14839,Code
26038,GeneToProtein,Q8TDI0,Code
10523,GeneToProtein,Q8IWX8,Code
55743,GeneToProtein,Q96EP1,Code
27159,GeneToProtein,Q9BZP6,Code
53344,GeneToProtein,Q5VXU3,Code
1118,GeneToProtein,Q13231,Code
26511,GeneToProtein,Q9UKJ5,Code
1123,GeneToProtein,P15882,Code
10273,GeneToProtein,Q9UNE7,Code
66005,GeneToProtein,Q9BWS9,Code
1124,GeneToProtein,P52757,Code
1111,GeneToProtein,O14757,Code
590,GeneToProtein,P06276,Code
27243,GeneToProtein,O43633,Code
92421,GeneToProtein,Q96CF2,Code
11200,GeneToProtein,O96017,Code
100307126,GeneToProtein,P59074,Code
5119,GeneToProtein,Q9HD42,Code
79643,GeneToProtein,Q96FZ7,Code
51652,GeneToProtein,Q9Y3E7,Code
25978,GeneToProtein,Q9UQN3,Code
1119,GeneToProtein,P35790,Code
91782,GeneToProtein,Q8WUX9,Code
57132,GeneToProtein,Q7LBR1,Code
29082,GeneToProtein,Q9BY43,Code
1120,GeneToProtein,Q9Y259,Code
51510,GeneToProtein,Q9NZZ3,Code
63928,GeneToProtein,O43745,Code
128866,GeneToProtein,Q9H444,Code
54108,GeneToProtein,Q9NRG0,Code
122455339,GeneToProtein,A0A2R8Y2Y2,Code
54997,GeneToProtein,Q96BS2,Code
140578,GeneToProtein,Q9H9P2,Code
56994,GeneToProtein,Q8WUD6,Code
8646,GeneToProtein,Q9H2X0,Code
11261,GeneToProtein,Q99653,Code
26973,GeneToProtein,Q9UHD1,Code
54480,GeneToProtein,Q9P2E5,Code
9435,GeneToProtein,Q9Y4C5,Code
9486,GeneToProtein,O43529,Code
23589,GeneToProtein,Q9Y2V2,Code
9469,GeneToProtein,Q7LGC8,Code
50515,GeneToProtein,Q9NPF2,Code
26097,GeneToProtein,Q9Y3Y2,Code
22856,GeneToProtein,Q86X52,Code
10164,GeneToProtein,Q8NCG5,Code
91612,GeneToProtein,Q8WUH1,Code
55501,GeneToProtein,Q9NRB3,Code
79586,GeneToProtein,Q8IZ52,Code
23563,GeneToProtein,Q9GZS9,Code
166012,GeneToProtein,Q8NET6,Code
337876,GeneToProtein,Q70JA7,Code
113189,GeneToProtein,Q8NCH0,Code
4166,GeneToProtein,Q9GZX3,Code
56548,GeneToProtein,Q9NS84,Code
51363,GeneToProtein,Q7LFX5,Code
8534,GeneToProtein,O43916,Code
58483,GeneToProtein,Q9P2X8,Code
85026,GeneToProtein,Q9H2J1,Code
64377,GeneToProtein,Q9H2A9,Code
100129385,GeneToProtein,A6NGG3,Code
55071,GeneToProtein,Q8IXQ3,Code
414318,GeneToProtein,Q8NAJ2,Code
414319,GeneToProtein,B1AMM8,Code
51647,GeneToProtein,Q9Y3D0,Code
257169,GeneToProtein,Q8TAL5,Code
83539,GeneToProtein,Q7L1S5,Code
375759,GeneToProtein,Q5SZB4,Code
51490,GeneToProtein,Q5T280,Code
138240,GeneToProtein,Q5W0N0,Code
64428,GeneToProtein,Q9H6Q4,Code
445577,GeneToProtein,Q5T035,Code
100128782,GeneToProtein,Q8WZB0,Code
401563,GeneToProtein,Q6ZV77,Code
401546,GeneToProtein,Q5JTZ5,Code
389766,GeneToProtein,Q5TBE3,Code
117286,GeneToProtein,Q96Q77,Code
148523,GeneToProtein,Q8N365,Code
23152,GeneToProtein,Q96RK0,Code
158055,GeneToProtein,Q8N9P6,Code
203228,GeneToProtein,Q96LT7,Code
401535,GeneToProtein,A2RU37,Code
9391,GeneToProtein,O76071,Code
51103,GeneToProtein,Q9Y375,Code
130106,GeneToProtein,A0PJX0,Code
138241,GeneToProtein,Q96MD7,Code
84191,GeneToProtein,Q9H5X1,Code
10519,GeneToProtein,Q99828,Code
1149,GeneToProtein,O60543,Code
22858,GeneToProtein,Q9UPZ9,Code
27141,GeneToProtein,Q9UHD4,Code
8483,GeneToProtein,O75339,Code
10518,GeneToProtein,O75838,Code
148113,GeneToProtein,Q8IUL8,Code
63924,GeneToProtein,Q96AQ7,Code
10758,GeneToProtein,O43734,Code
57530,GeneToProtein,Q9P2M7,Code
57820,GeneToProtein,Q9NPC3,Code
9322,GeneToProtein,Q15642,Code
57650,GeneToProtein,Q8TCG1,Code
51550,GeneToProtein,Q9BW66,Code
729966,GeneToProtein,A0A2R8Y7Y5,Code
1153,GeneToProtein,Q14011,Code
493856,GeneToProtein,Q8N5K1,Code
85457,GeneToProtein,Q9C0C6,Code
284106,GeneToProtein,P0C7P0,Code
55847,GeneToProtein,Q9NZ45,Code
100128908,GeneToProtein,A0A1B0GTW7,Code
1154,GeneToProtein,Q9NSE2,Code
1431,GeneToProtein,O75390,Code
9541,GeneToProtein,Q86X95,Code
10370,GeneToProtein,Q99967,Code
163732,GeneToProtein,Q96RK1,Code
221060,GeneToProtein,Q8N326,Code
399814,GeneToProtein,Q5SQS8,Code
25792,GeneToProtein,Q9ULV3,Code
283080,GeneToProtein,Q8N4M7,Code
100130539,GeneToProtein,B7Z368,Code
387723,GeneToProtein,A0A1B0GUT2,Code
4435,GeneToProtein,Q99966,Code
283025,GeneToProtein,A4QN01,Code
282966,GeneToProtein,Q8N6V4,Code
56673,GeneToProtein,Q9NQ32,Code
387763,GeneToProtein,Q7Z7L8,Code
83638,GeneToProtein,Q9H3H3,Code
29125,GeneToProtein,Q9P2W6,Code
414236,GeneToProtein,Q5SWW7,Code
53838,GeneToProtein,Q96F05,Code
414157,GeneToProtein,Q5T681,Code
643037,GeneToProtein,A0A1B0GVM6,Code
54494,GeneToProtein,Q6IPW1,Code
102288414,GeneToProtein,E9PRG8,Code
100505621,GeneToProtein,Q8NBR9,Code
440072,GeneToProtein,Q96N53,Code
143501,GeneToProtein,Q8WZ69,Code
254439,GeneToProtein,A6NJI1,Code
160298,GeneToProtein,Q8N5U0,Code
256815,GeneToProtein,Q8IYJ2,Code
91894,GeneToProtein,Q96A22,Code
404216,GeneToProtein,Q8N1V8,Code
80279,GeneToProtein,Q96JB5,Code
118611,GeneToProtein,Q96M02,Code
112616,GeneToProtein,Q96FZ5,Code
399947,GeneToProtein,Q6NUJ2,Code
28970,GeneToProtein,Q9H0W9,Code
51654,GeneToProtein,Q96SZ6,Code
55450,GeneToProtein,Q7Z7J9,Code
79946,GeneToProtein,Q9H7T3,Code
152189,GeneToProtein,Q8IZV2,Code
414152,GeneToProtein,Q8TEF2,Code
51192,GeneToProtein,Q9UBR5,Code
94032,GeneToProtein,Q96S95,Code
100131378,GeneToProtein,Q3C1V1,Code
1164,GeneToProtein,P33552,Code
121273,GeneToProtein,Q6X4T0,Code
387837,GeneToProtein,Q2HXU8,Code
113540,GeneToProtein,Q8IZ96,Code
115749,GeneToProtein,Q8IXR9,Code
26586,GeneToProtein,Q8WWK9,Code
55755,GeneToProtein,Q96SN8,Code
146225,GeneToProtein,Q8TAZ6,Code
144608,GeneToProtein,Q5U649,Code
123920,GeneToProtein,Q96MX0,Code
283416,GeneToProtein,Q8N7H1,Code
144360,GeneToProtein,Q96M19,Code
1163,GeneToProtein,P61024,Code
146223,GeneToProtein,Q8IZR5,Code
728858,GeneToProtein,A8MTZ7,Code
10970,GeneToProtein,Q07065,Code
728276,GeneToProtein,Q6UXS0,Code
116173,GeneToProtein,Q96DZ9,Code
400073,GeneToProtein,Q8N812,Code
150468,GeneToProtein,Q8IYA6,Code
23274,GeneToProtein,Q2KHT3,Code
256021,GeneToProtein,G3V211,Code
400797,GeneToProtein,Q6ZU45,Code
54918,GeneToProtein,Q9NX76,Code
253128,GeneToProtein,Q8N6U2,Code
9793,GeneToProtein,Q14008,Code
283422,GeneToProtein,Q495D7,Code
439916,GeneToProtein,Q96LM1,Code
388512,GeneToProtein,Q6ZS10,Code
160364,GeneToProtein,Q5QGZ9,Code
374470,GeneToProtein,Q96LP6,Code
160419,GeneToProtein,Q8NA57,Code
348174,GeneToProtein,A5D8T8,Code
51267,GeneToProtein,Q8NC01,Code
6349,GeneToProtein,P16619,Code
497190,GeneToProtein,Q6UXF7,Code
283971,GeneToProtein,Q8NCF0,Code
51266,GeneToProtein,Q9P126,Code
10143,GeneToProtein,O75596,Code
11129,GeneToProtein,Q8N2M8,Code
122616,GeneToProtein,Q96F83,Code
165530,GeneToProtein,Q8N1N0,Code
23332,GeneToProtein,Q7Z460,Code
50856,GeneToProtein,Q9UMR7,Code
387836,GeneToProtein,Q6UVW9,Code
9635,GeneToProtein,Q9UQC9,Code
10462,GeneToProtein,Q8IUN9,Code
339390,GeneToProtein,Q6UXB4,Code
9976,GeneToProtein,Q92478,Code
9629,GeneToProtein,Q9Y6N3,Code
1103,GeneToProtein,P28329,Code
170482,GeneToProtein,Q8WTT0,Code
64581,GeneToProtein,Q9BXN2,Code
22802,GeneToProtein,Q14CN2,Code
50489,GeneToProtein,Q9UJ71,Code
338339,GeneToProtein,Q8WXI8,Code
6320,GeneToProtein,Q9Y240,Code
29121,GeneToProtein,Q9UHP7,Code
23122,GeneToProtein,O75122,Code
161198,GeneToProtein,Q86T13,Code
283420,GeneToProtein,Q6UXN8,Code
26253,GeneToProtein,Q9ULY5,Code
10332,GeneToProtein,Q9H2X3,Code
154790,GeneToProtein,P0C7M8,Code
1211,GeneToProtein,P09496,Code
23601,GeneToProtein,Q9NY25,Code
1179,GeneToProtein,A8K7I4,Code
23529,GeneToProtein,Q9UBD9,Code
1212,GeneToProtein,P09497,Code
93978,GeneToProtein,Q6EIG7,Code
53842,GeneToProtein,Q8N7P3,Code
10686,GeneToProtein,Q9Y5I7,Code
137075,GeneToProtein,Q96B33,Code
1180,GeneToProtein,P35523,Code
23155,GeneToProtein,Q96S66,Code
1184,GeneToProtein,P51795,Code
7122,GeneToProtein,O00501,Code
1187,GeneToProtein,P51800,Code
26285,GeneToProtein,P56750,Code
100132463,GeneToProtein,A6NM45,Code
5010,GeneToProtein,O75508,Code
644672,GeneToProtein,C9JDP6,Code
125875,GeneToProtein,Q8NHS1,Code
9074,GeneToProtein,P56747,Code
51208,GeneToProtein,P56856,Code
9075,GeneToProtein,P57739,Code
1188,GeneToProtein,P51801,Code
9069,GeneToProtein,P56749,Code
100288814,GeneToProtein,H7C241,Code
1366,GeneToProtein,O95471,Code
23562,GeneToProtein,O95500,Code
1185,GeneToProtein,P51797,Code
1365,GeneToProtein,O15551,Code
149461,GeneToProtein,Q8N6F1,Code
160365,GeneToProtein,Q8IZS7,Code
1181,GeneToProtein,P51788,Code
24146,GeneToProtein,P56746,Code
9073,GeneToProtein,P56748,Code
9080,GeneToProtein,O95484,Code
1364,GeneToProtein,O14493,Code
9076,GeneToProtein,O95832,Code
1186,GeneToProtein,P51798,Code
56650,GeneToProtein,Q9NY35,Code
1047,GeneToProtein,O14967,Code
1193,GeneToProtein,O15247,Code
8218,GeneToProtein,P53675,Code
49861,GeneToProtein,P56880,Code
1182,GeneToProtein,P51790,Code
9022,GeneToProtein,O95833,Code
574028,GeneToProtein,Q5K131,Code
1195,GeneToProtein,P49759,Code
6249,GeneToProtein,P30622,Code
9071,GeneToProtein,P78369,Code
130162,GeneToProtein,Q8NHS4,Code
146722,GeneToProtein,Q8TDQ1,Code
11314,GeneToProtein,Q9UGN4,Code
25932,GeneToProtein,Q9Y696,Code
1196,GeneToProtein,P49760,Code
7461,GeneToProtein,Q9UDT6,Code
9575,GeneToProtein,O15516,Code
1183,GeneToProtein,P51793,Code
146894,GeneToProtein,Q6UXG3,Code
342510,GeneToProtein,Q496F6,Code
1213,GeneToProtein,Q00610,Code
1203,GeneToProtein,O75503,Code
1198,GeneToProtein,P49761,Code
25999,GeneToProtein,Q96DZ5,Code
53405,GeneToProtein,Q9NZA1,Code
79789,GeneToProtein,Q96JQ2,Code
81037,GeneToProtein,Q96KA5,Code
1192,GeneToProtein,O00299,Code
57396,GeneToProtein,Q9HAZ1,Code
79745,GeneToProtein,Q8N3C7,Code
100131439,GeneToProtein,Q6UXZ3,Code
54982,GeneToProtein,Q9NWW5,Code
79827,GeneToProtein,Q9H6B4,Code
54102,GeneToProtein,Q96NY7,Code
10871,GeneToProtein,Q08708,Code
2055,GeneToProtein,Q9UBY8,Code
124599,GeneToProtein,A8K4G0,Code
10978,GeneToProtein,Q92989,Code
116449,GeneToProtein,Q7Z7G1,Code
1201,GeneToProtein,Q13286,Code
81570,GeneToProtein,Q9H078,Code
8192,GeneToProtein,Q16740,Code
1209,GeneToProtein,O96005,Code
10845,GeneToProtein,O76031,Code
7401,GeneToProtein,P58418,Code
645104,GeneToProtein,A0PK11,Code
119467,GeneToProtein,Q8NCR9,Code
63967,GeneToProtein,Q9HAW4,Code
57393,GeneToProtein,Q9HBJ8,Code
100132341,GeneToProtein,Q96NS8,Code
574016,GeneToProtein,Q5K130,Code
23059,GeneToProtein,Q96AJ1,Code
10800,GeneToProtein,Q9Y271,Code
27098,GeneToProtein,Q15846,Code
1191,GeneToProtein,P10909,Code
23277,GeneToProtein,O75153,Code
57105,GeneToProtein,Q9NS75,Code
79645,GeneToProtein,Q9HAE3,Code
647166,GeneToProtein,A0A1B0GVH6,Code
100507747,GeneToProtein,A0A1B0GUA9,Code
171425,GeneToProtein,Q8N0X4,Code
157807,GeneToProtein,Q8IUQ0,Code
134829,GeneToProtein,Q5SYC1,Code
113746,GeneToProtein,Q96PU9,Code
440836,GeneToProtein,A8MYP8,Code
128344,GeneToProtein,Q8TCI5,Code
161753,GeneToProtein,Q8IXM7,Code
54067,GeneToProtein,Q17RA5,Code
284451,GeneToProtein,Q3SX64,Code
339778,GeneToProtein,A6NJV1,Code
8418,GeneToProtein,Q9Y471,Code
128602,GeneToProtein,Q9H1P6,Code
1215,GeneToProtein,P23946,Code
114841037,GeneToProtein,X6R8D5,Code
339669,GeneToProtein,O43247,Code
100272147,GeneToProtein,P56277,Code
163747,GeneToProtein,Q3ZCV2,Code
80790,GeneToProtein,Q8IY22,Code
1240,GeneToProtein,Q99788,Code
1113,GeneToProtein,P10645,Code
134147,GeneToProtein,Q96DG6,Code
79823,GeneToProtein,Q7Z624,Code
2825,GeneToProtein,P46091,Code
401565,GeneToProtein,Q6J272,Code
730112,GeneToProtein,A8MTA8,Code
84319,GeneToProtein,Q9BQ75,Code
56967,GeneToProtein,Q9NPU4,Code
140894,GeneToProtein,Q96M20,Code
118881,GeneToProtein,Q86VU5,Code
129607,GeneToProtein,Q5EBM0,Code
102724845,GeneToProtein,Q86U02,Code
283598,GeneToProtein,Q52M58,Code
202333,GeneToProtein,Q8N3K9,Code
283579,GeneToProtein,Q8N769,Code
196913,GeneToProtein,Q8WXQ3,Code
23261,GeneToProtein,Q9Y6Y1,Code
23070,GeneToProtein,Q8N1G2,Code
1267,GeneToProtein,P09543,Code
387978,GeneToProtein,Q86U37,Code
122525,GeneToProtein,Q4W4Y0,Code
283601,GeneToProtein,Q86TU6,Code
60686,GeneToProtein,Q9H972,Code
56998,GeneToProtein,Q9NSA3,Code
84518,GeneToProtein,Q9BYD5,Code
9918,GeneToProtein,Q15021,Code
23125,GeneToProtein,O94983,Code
55748,GeneToProtein,Q96KP4,Code
55017,GeneToProtein,Q9NWQ9,Code
55783,GeneToProtein,Q8IYT2,Code
23310,GeneToProtein,P42695,Code
255193,GeneToProtein,Q8NCQ2,Code
7555,GeneToProtein,P62633,Code
168975,GeneToProtein,Q8NA66,Code
54892,GeneToProtein,Q86XI2,Code
1259,GeneToProtein,P29973,Code
1258,GeneToProtein,Q14028,Code
23397,GeneToProtein,Q15003,Code
149111,GeneToProtein,Q8TBE1,Code
23399,GeneToProtein,O95476,Code
5149,GeneToProtein,Q13956,Code
10175,GeneToProtein,O95406,Code
1260,GeneToProtein,Q16280,Code
29781,GeneToProtein,Q6IBW4,Code
29097,GeneToProtein,Q9P003,Code
254263,GeneToProtein,Q6PI25,Code
64151,GeneToProtein,Q9BPX3,Code
26505,GeneToProtein,Q8NE01,Code
1265,GeneToProtein,Q99439,Code
54714,GeneToProtein,Q9NQW8,Code
84735,GeneToProtein,Q96KN2,Code
246175,GeneToProtein,Q96LI5,Code
11061,GeneToProtein,O75829,Code
1266,GeneToProtein,Q15417,Code
10256,GeneToProtein,Q969H4,Code
1261,GeneToProtein,Q16281,Code
26504,GeneToProtein,Q6P4Q7,Code
27013,GeneToProtein,Q9BV87,Code
22866,GeneToProtein,Q8WXI2,Code
26507,GeneToProtein,Q9NRU3,Code
29883,GeneToProtein,Q9UIV1,Code
285888,GeneToProtein,Q3B7I2,Code
1264,GeneToProtein,P51911,Code
1262,GeneToProtein,Q8IV77,Code
10330,GeneToProtein,Q9Y2B0,Code
54805,GeneToProtein,Q9H8M5,Code
154043,GeneToProtein,Q6P9H4,Code
23019,GeneToProtein,A5YKK6,Code
9337,GeneToProtein,Q9UFF9,Code
245812,GeneToProtein,Q8N129,Code
25904,GeneToProtein,Q9H9A5,Code
10695,GeneToProtein,Q9BT09,Code
5148,GeneToProtein,P18545,Code
9125,GeneToProtein,Q92600,Code
728577,GeneToProtein,Q96NU0,Code
1269,GeneToProtein,P34972,Code
55571,GeneToProtein,Q9UKZ1,Code
4848,GeneToProtein,Q9NZN8,Code
27255,GeneToProtein,Q9UQ52,Code
25927,GeneToProtein,Q96F85,Code
1271,GeneToProtein,P26992,Code
1272,GeneToProtein,Q12860,Code
4849,GeneToProtein,O75175,Code
1268,GeneToProtein,P21554,Code
8506,GeneToProtein,P78357,Code
1270,GeneToProtein,P26441,Code
163882,GeneToProtein,Q6PJW8,Code
4850,GeneToProtein,O95628,Code
6900,GeneToProtein,Q02246,Code
124817,GeneToProtein,Q8N815,Code
400359,GeneToProtein,Q8NAA6,Code
57472,GeneToProtein,Q9ULM6,Code
400360,GeneToProtein,Q8N8G6,Code
26047,GeneToProtein,Q9UHC6,Code
644809,GeneToProtein,Q8N910,Code
145853,GeneToProtein,A6NNL5,Code
81698,GeneToProtein,Q9H2U6,Code
145858,GeneToProtein,Q32M92,Code
643338,GeneToProtein,A8K5M9,Code
5067,GeneToProtein,Q9P232,Code
54875,GeneToProtein,Q9NXG0,Code
56905,GeneToProtein,Q6ZRI6,Code
79937,GeneToProtein,Q9BZ76,Code
85445,GeneToProtein,Q9C0A0,Code
123207,GeneToProtein,Q8WUR7,Code
152330,GeneToProtein,Q8IWV2,Code
129684,GeneToProtein,Q8WYK1,Code
717,GeneToProtein,P06681,Code
116840,GeneToProtein,Q8N137,Code
53942,GeneToProtein,O94779,Code
11064,GeneToProtein,Q7Z7A1,Code
1280,GeneToProtein,P02458,Code
1287,GeneToProtein,P29400,Code
1282,GeneToProtein,P02462,Code
1291,GeneToProtein,P12109,Code
733,GeneToProtein,P07360,Code
1288,GeneToProtein,Q14031,Code
1278,GeneToProtein,P08123,Code
1294,GeneToProtein,Q02388,Code
55744,GeneToProtein,Q9GZY4,Code
