GeneId:START_ID(Gene),Relation:TYPE,DiseaseId:END_ID(Disease),DSI,DPI,RelationName
18,GeneToDisease,C0424605,0.628,0.538,Relate to
18,GeneToDisease,C0427201,0.628,0.538,Relate to
18,GeneToDisease,C0427202,0.628,0.538,Relate to
18,GeneToDisease,C0494475,0.628,0.538,Relate to
18,GeneToDisease,C0557874,0.628,0.538,Relate to
18,GeneToDisease,C0751056,0.628,0.538,Relate to
18,GeneToDisease,C0751110,0.628,0.538,Relate to
18,GeneToDisease,C0751123,0.628,0.538,Relate to
18,GeneToDisease,C0751330,0.628,0.538,Relate to
18,GeneToDisease,C0751456,0.628,0.538,Relate to
18,GeneToDisease,C0751494,0.628,0.538,Relate to
18,GeneToDisease,C0751495,0.628,0.538,Relate to
18,GeneToDisease,C0751496,0.628,0.538,Relate to
18,GeneToDisease,C2267233,0.628,0.538,Relate to
18,GeneToDisease,C3495874,0.628,0.538,Relate to
18,GeneToDisease,C4048158,0.628,0.538,Relate to
18,GeneToDisease,C4316903,0.628,0.538,Relate to
18,GeneToDisease,C4317109,0.628,0.538,Relate to
18,GeneToDisease,C4317123,0.628,0.538,Relate to
18,GeneToDisease,C4505436,0.628,0.538,Relate to
19,GeneToDisease,C0004153,0.467,0.846,Relate to
19,GeneToDisease,C0009402,0.467,0.846,Relate to
19,GeneToDisease,C0009404,0.467,0.846,Relate to
19,GeneToDisease,C0020443,0.467,0.846,Relate to
19,GeneToDisease,C0020445,0.467,0.846,Relate to
19,GeneToDisease,C0022661,0.467,0.846,Relate to
19,GeneToDisease,C0036341,0.467,0.846,Relate to
19,GeneToDisease,C0039292,0.467,0.846,Relate to
19,GeneToDisease,C0342898,0.467,0.846,Relate to
19,GeneToDisease,C0473527,0.467,0.846,Relate to
19,GeneToDisease,C0745103,0.467,0.846,Relate to
19,GeneToDisease,C0751544,0.467,0.846,Relate to
19,GeneToDisease,C1563937,0.467,0.846,Relate to
19,GeneToDisease,C1704417,0.467,0.846,Relate to
19,GeneToDisease,C1704429,0.467,0.846,Relate to
19,GeneToDisease,C2931838,0.467,0.846,Relate to
19,GeneToDisease,C3711531,0.467,0.846,Relate to
19,GeneToDisease,C4721453,0.467,0.846,Relate to
21,GeneToDisease,C0006142,0.592,0.615,Relate to
21,GeneToDisease,C0009402,0.592,0.615,Relate to
21,GeneToDisease,C0009404,0.592,0.615,Relate to
21,GeneToDisease,C0013990,0.592,0.615,Relate to
21,GeneToDisease,C0020192,0.592,0.615,Relate to
21,GeneToDisease,C0020542,0.592,0.615,Relate to
21,GeneToDisease,C0034069,0.592,0.615,Relate to
21,GeneToDisease,C0035220,0.592,0.615,Relate to
21,GeneToDisease,C0085786,0.592,0.615,Relate to
21,GeneToDisease,C0852283,0.592,0.615,Relate to
21,GeneToDisease,C1800706,0.592,0.615,Relate to
21,GeneToDisease,C1861829,0.592,0.615,Relate to
21,GeneToDisease,C1970456,0.592,0.615,Relate to
21,GeneToDisease,C4721507,0.592,0.615,Relate to
22,GeneToDisease,C0002896,0.678,0.385,Relate to
22,GeneToDisease,C0004134,0.678,0.385,Relate to
22,GeneToDisease,C0240991,0.678,0.385,Relate to
22,GeneToDisease,C0427190,0.678,0.385,Relate to
22,GeneToDisease,C0750940,0.678,0.385,Relate to
22,GeneToDisease,C1845028,0.678,0.385,Relate to
23,GeneToDisease,C0020517,0.674,0.538,Relate to
23,GeneToDisease,C0032285,0.674,0.538,Relate to
23,GeneToDisease,C0032300,0.674,0.538,Relate to
23,GeneToDisease,C1527304,0.674,0.538,Relate to
23,GeneToDisease,C3714636,0.674,0.538,Relate to
24,GeneToDisease,C0006142,0.493,0.769,Relate to
24,GeneToDisease,C0008924,0.493,0.769,Relate to
24,GeneToDisease,C0009402,0.493,0.769,Relate to
24,GeneToDisease,C0009404,0.493,0.769,Relate to
24,GeneToDisease,C0015397,0.493,0.769,Relate to
24,GeneToDisease,C0035334,0.493,0.769,Relate to
24,GeneToDisease,C0242383,0.493,0.769,Relate to
24,GeneToDisease,C0271093,0.493,0.769,Relate to
24,GeneToDisease,C0339539,0.493,0.769,Relate to
24,GeneToDisease,C1855465,0.493,0.769,Relate to
24,GeneToDisease,C1858080,0.493,0.769,Relate to
24,GeneToDisease,C1858806,0.493,0.769,Relate to
24,GeneToDisease,C1866422,0.493,0.769,Relate to
24,GeneToDisease,C3489532,0.493,0.769,Relate to
24,GeneToDisease,C3495438,0.493,0.769,Relate to
